"Artist","Track","streams","Lookup","id","artist_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","explicit","song_popularity","album_name","album_id","cluster"
"Adele","Turning Tables",7,"Adele%20Turning%20Tables%20%20","4oy98QoABnGKpvapDkI525","4dpARuHxo51G3z768sgnrY",0.353,0.446,"0",-6.044,"0",0.0285,0.95,0.0000135,0.132,0.211,155.476,250000,"4",FALSE,67,"21","0Lg1uZvI312TPqxNWShFXL","4: Sad Bops"
"Adele","Water Under the Bridge",6,"Adele%20Water%20Under%20the%20Bridge%20%20","4jL6WWKFDqCOPo2hC3VhSS","4dpARuHxo51G3z768sgnrY",0.59,0.833,"5",-6.503,"0",0.0615,0.0142,0.0000054,0.105,0.538,94.963,240439,"4",FALSE,71,"25","3AvPX1B1HiFROvYjLb5Qwi","8: Anthem Songs"
"Adele","When We Were Young",78,"Adele%20When%20We%20Were%20Young%20%20","7GgWAITsYJaRM3r50rfh5w","4dpARuHxo51G3z768sgnrY",0.376,0.595,"3",-5.936,"1",0.0496,0.303,0,0.095,0.265,144.361,290900,"4",FALSE,76,"25","3AvPX1B1HiFROvYjLb5Qwi","6: Energy Pop"
"Agnes","Emotional",225,"Agnes%20Emotional%20%20","1AT4wNgrGzMWAmfbxwiBRO","6SsTlCsuCYleNza6xGwynu",0.618,0.913,"2",-3.716,"0",0.0425,0.0609,0.00031,0.311,0.855,109.971,180293,"4",FALSE,15,"Agnes","7M7HoTi4i5szTtc11yPZck","7: Dance Songs"
"Agnes","Release Me",89,"Agnes%20Release%20Me%20%20","4LiJE6pqgsTX3FtukW6bNh","6SsTlCsuCYleNza6xGwynu",0.621,0.923,"2",-3.124,"0",0.0321,0.00645,0.0000728,0.108,0.716,127.973,256213,"4",FALSE,67,"Dance Love Pop (The Love Love Love Edition)","6hfmJS7B3wWyQXfMoNuHIA","7: Dance Songs"
"Agnes","Stranded",48,"Agnes%20Stranded%20%20","2flVcZUDfnPaUFPtC1aJS3","6SsTlCsuCYleNza6xGwynu",0.687,0.925,"5",-3.807,"1",0.0467,0.0283,0,0.0465,0.751,114.962,196573,"4",FALSE,20,"Agnes","7M7HoTi4i5szTtc11yPZck","7: Dance Songs"
"Alan Jackson","Where Were You (When the World Stopped Turning)",5,"Alan%20Jackson%20Where%20Were%20You%20(When%20the%20World%20Stopped%20Turning)%20%20","4aOQG9TYcZOhT3sngkMI9K","4mxWe1mtYIYfP040G38yvS",0.642,0.388,"0",-9.194,"1",0.0322,0.473,0,0.0754,0.186,115.355,305093,"4",FALSE,52,"Drive","2QBJCHNMYQC1cyhSXW0ygV","4: Sad Bops"
"Alan Walker","All Falls Down",32,"Alan%20Walker%20All%20Falls%20Down%20%20","1HvCFAUIWQsWV9zud3UhDl","7vk5e3vY1uw9plTHJAMwjN",0.655,0.672,"1",-4.966,"1",0.0581,0.253,0,0.312,0.675,98.005,198880,"4",FALSE,67,"Different World","3nzuGtN3nXARvvecier4K0","7: Dance Songs"
"Alan Walker","Faded",301,"Alan%20Walker%20Faded%20%20","698ItKASDavgwZ3WjaWjtz","7vk5e3vY1uw9plTHJAMwjN",0.468,0.627,"6",-5.085,"1",0.0476,0.0281,0.00000797,0.11,0.159,179.642,212107,"4",FALSE,81,"Different World","3nzuGtN3nXARvvecier4K0","6: Energy Pop"
"Alessia Cara","Here",15,"Alessia%20Cara%20Here%20%20","5zUQZjVB6bfewBXWqsP9PY","2wUjUUtkb5lvLKcGKsKqsR",0.376,0.821,"0",-3.974,"1",0.104,0.0785,0,0.0823,0.331,120.462,199453,"4",FALSE,71,"Know-It-All","7HnbhIDKXIBhMR4EPGuMgu","6: Energy Pop"
