"Artist","artist_id","genres","followers","artist_popularity","alternative rock","art pop","australian pop","canadian pop","dance pop","edm","electropop","hopebeat","house","indie pop","indie poptimism","indietronica","metropopolis","pop","pop dance","pop edm","pov: indie","rock","swedish idol pop","swedish pop","talent show","tropical","tropical house","uk pop"
"Ella Henderson","7nDsS0l5ZAzMedVRKPP8F1","dance pop,talent show,uk pop",1554651,74,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
"Elle Fanning","5lBUWrTWtJewTgS394y0m9","",7711,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elle Winter","7LkNpfFX2XpGAO0Amhtfhl","",12300,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elley Duhe","67MNhiAICFY6Pwc2YxCO0K","alt z",427314,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ellie Goulding","0X2BH1fck6amBIoJhDVmmJ","indietronica,metropopolis,pop,uk pop",11973569,82,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
"Elmo & Patsy","64TYMfqkpGQsUEuF5xqS2R","cartoon,children's music",29636,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elton John","3PhoLpVuITZKcymswpck5b","glam rock,mellow gold,piano rock,rock",11583520,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","rock-and-roll,rockabilly",8271338,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Emeli Sande","7sfgqEdoeBTjd8lQsPT3Cy","r&b,talent show",2262424,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Emma Blackery","2NqeFgy0ual6Abk5hd0xxi","uk pop",65963,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Enya","6uothxMWeLWIhsGeF7cyo4","celtic,middle earth,operatic pop",1953458,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eric Hutchinson","39x8gyJjTHiBQklFgVJSV4","acoustic pop,neo mellow",154297,51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Eric Prydz","5sm0jQ1mq0dusiLtDJ2b4R","edm,electro house,house,pop dance,progressive electro house,progressive house,tropical house",561132,64,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
"Ester Dean","0v2Y5jwtcv8LiWNTRls1KM","",53711,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eurythmics","0NKDgy9j66h3DLnN8qu1bB","album rock,dance rock,new romantic,new wave,new wave pop,rock,singer-songwriter,soft rock,sophisti-pop,synthpop",1720112,68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Eva","3Vo834c5EcKKZfy5ZvaP5I","",1329,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Evanescence","5nGIFgo0shDenQYSE0Sn7c","alternative metal",3851466,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fairlane","3L7JnVovGbYSUmRyqhXMYO","melodic dubstep,pop edm",29023,48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Faith Hill","25NQNriVT2YbSW80ILRWJa","contemporary country,country,country dawn,country road",1728398,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
