"Artist","Track","cluster","total_track_streams"
"Generation X","Dancing With Myself","1: Instrumental Songs",27
"Judah & the Lion","Suit And Jacket","6: Energy Pop",27
"Kelly Clarkson","You Can't Win","6: Energy Pop",27
"Lou Monte","Dominick The Italian Christmas Donkey","7: Dance Songs",27
"Mannheim Steamroller","God Rest Ye Merry Gentlemen - Rock Version","1: Instrumental Songs",27
"Marina","I'm a Ruin","4: Sad Bops",27
"Nat King Cole","The Christmas Song (Merry Christmas To You)","2: ""The Feels""",27
"Samantha Jade","Born to Be Alive","5: Live Songs",27
"Sia","Confetti","8: Anthem Songs",27
"Tove Lo","Not on Drugs","7: Dance Songs",27
"Trans-Siberian Orchestra","Wizards In Winter - Instrumental","1: Instrumental Songs",27
"Wiz Khalifa","See You Again (feat. Charlie Puth)","8: Anthem Songs",27
"Ariana Grande","Problem","7: Dance Songs",26
"Betty Who","High Society","8: Anthem Songs",26
"Carly Rae Jepsen","Cry","8: Anthem Songs",26
"Carly Rae Jepsen","Tiny Little Bows","7: Dance Songs",26
"Elle Winter","Yeah No.","6: Energy Pop",26
"Ellie Goulding","Keep on Dancin'","8: Anthem Songs",26
"Fly By Midnight","No Choice","8: Anthem Songs",26
"Gryffin","Colors (with Eyelar)","6: Energy Pop",26
"Hawk Nelson","Drops In the Ocean","8: Anthem Songs",26
"Mako","I Won't Let You Walk Away - Lost Kings Remix","8: Anthem Songs",26
"MYBADD","Sugar","8: Anthem Songs",26
"Olly Murs","Troublemaker","7: Dance Songs",26
"Rachel Taylor","Porcelain","6: Energy Pop",26
"Sia","Chandelier - Piano Version","2: ""The Feels""",26
"The Runaway Club","Runaway","5: Live Songs",26
"Toby Keith","Courtesy of the Red White and Blue (The Angry American)","4: Sad Bops",26
"Vigiland","Be Your Friend","7: Dance Songs",26
"Whitney Houston","Do You Hear What I Hear?","8: Anthem Songs",26
"Adele","Love Is a Game","4: Sad Bops",25
"Billy Joel","We Didn't Start the Fire","5: Live Songs",25
"Britt Nicole","Holiday - MyKidBrother Remix","7: Dance Songs",25
"Britt Nicole","Walk On The Water - Phenomenon Remix By Soul Glow Activatur","8: Anthem Songs",25
"Bryan Adams","Summer of '69","7: Dance Songs",25
"Delta Goodrem","Keep Climbing","2: ""The Feels""",25
"Idina Menzel","Let It Go - From Frozen/Soundtrack Version","4: Sad Bops",25
"Josh Groban","You Are Loved (Don't Give Up)","4: Sad Bops",25
"Katy Perry","Waving Through A Window - from Dear Evan Hansen","4: Sad Bops",25
"Kelly Clarkson","A Moment Like This","4: Sad Bops",25
"Lady Gaga","Angel Down","2: ""The Feels""",25
"Lady Gaga","Dance in the Dark","8: Anthem Songs",25
"Molly Sanden","Sand","2: ""The Feels""",25
"NOTD","Never A Good Time","6: Energy Pop",25
"Pitbull","Give Me Everything","3: ""Speak"" Pop",25
"Samantha Jade","Always","7: Dance Songs",25
"Adele","Rolling in the Deep","8: Anthem Songs",24
"Avril Lavigne","Rock n Roll","6: Energy Pop",24
"Bob Rivers","The Twelve Pains Of Christmas","2: ""The Feels""",24
"Britt Nicole","Breakthrough","6: Energy Pop",24
"Carly Rae Jepsen","Tonight I'm Getting Over You","8: Anthem Songs",24
"Carly Rae Jepsen","Tonight I'm Getting Over You - Remix","8: Anthem Songs",24
"Dami Im","Super Love","8: Anthem Songs",24
"Daughtry","Feels Like Tonight","8: Anthem Songs",24
"Ella Eyre","Good Times","3: ""Speak"" Pop",24
"Fairlane","Out Loud","8: Anthem Songs",24
"Fickle Friends","Million","7: Dance Songs",24
"Flo Rida","Good Feeling","5: Live Songs",24
"Flo Rida","That's What I Like (feat. Fitz)","5: Live Songs",24
"Howie Day","Collide","8: Anthem Songs",24
"Jimmy Buffett","Cheeseburger in Paradise","7: Dance Songs",24
"Joan Jett","I Hate Myself For Loving You","7: Dance Songs",24
"John Parr","St. Elmo's Fire (Man in Motion)","4: Sad Bops",24
"Jordin Sparks","Tattoo","6: Energy Pop",24
"Kelly Clarkson","Let Your Tears Fall","3: ""Speak"" Pop",24
"Kelly Clarkson","Wrapped in Red","8: Anthem Songs",24
"Lionel Richie","All Night Long (All Night) - Single Version","7: Dance Songs",24
"Olivia Olson","That Christmas Feeling","6: Energy Pop",24
"Rachel Platten","Astronauts","7: Dance Songs",24
"Taylor Swift","Love Story","8: Anthem Songs",24
"The Pointer Sisters","Jump (For My Love)","5: Live Songs",24
"Adele","Set Fire to the Rain","8: Anthem Songs",23
"Betty Who","Dreaming About You","5: Live Songs",23
"Blondie","Call Me","7: Dance Songs",23
"Bonnie McKee","American Girl","5: Live Songs",23
"Calum Scott","Dancing On My Own","2: ""The Feels""",23
"Celine Dion","O Holy Night","4: Sad Bops",23
"Ed Sheeran","Castle on the Hill","6: Energy Pop",23
"Frank Sinatra","The Christmas Waltz","2: ""The Feels""",23
"Judy Collins","Both Sides Now","2: ""The Feels""",23
"Kygo","Lose Somebody","6: Energy Pop",23
"Lady Gaga","Money Honey","7: Dance Songs",23
"Lady Gaga","Teeth","7: Dance Songs",23
"Marina","Handmade Heaven","4: Sad Bops",23
"Phineas and the Ferbtones","Gitchee Gitchee Goo","7: Dance Songs",23
"Robin Packalen","Hard To Love","7: Dance Songs",23
"Selena Gomez","Lose You to Love Me","2: ""The Feels""",23
"Steve Winwood","Higher Love - Single Version","5: Live Songs",23
"Taio Cruz","Dynamite","7: Dance Songs",23
"Thelma Houston","Don't Leave Me This Way","7: Dance Songs",23
"Vigiland","Another Shot - ESL One New York Edit","1: Instrumental Songs",23
"Vince Guaraldi Trio","Linus and Lucy","1: Instrumental Songs",23
"Whitney Houston","Greatest Love of All","2: ""The Feels""",23
"Cheat Codes","Washed Up","8: Anthem Songs",22
"Coldplay","A Sky Full of Stars","8: Anthem Songs",22
"DJ Khaled","All I Do is Win","3: ""Speak"" Pop",22
"Ellie Goulding","Army","6: Energy Pop",22
"Ellie Goulding","Easy Lover (feat. Big Sean)","8: Anthem Songs",22
"Foxes","Holding Onto Heaven","5: Live Songs",22
"Great Good Fine OK","So Far So Good","7: Dance Songs",22
"Jessie J","Flashlight - From Pitch Perfect 2","6: Energy Pop",22
"Junior Doctor","Uh Oh","7: Dance Songs",22
"Kelly Clarkson","Whyyawannabringmedown","7: Dance Songs",22
"Kim Petras","demons","6: Energy Pop",22
"Lady Gaga","Do What U Want","7: Dance Songs",22
"Lady Gaga","Free Woman","7: Dance Songs",22
"Lady Gaga","Sine from Above (with Elton John)","5: Live Songs",22
"Lost Kings","First Love","3: ""Speak"" Pop",22
"Nikki Williams","Glowing","8: Anthem Songs",22
"Pitbull","Timber","7: Dance Songs",22
"Rihanna","Bitch Better Have My Money","8: Anthem Songs",22
"Rita Ora","How We Do (Party)","7: Dance Songs",22
"Selena Gomez & the Scene","Hit the Lights","5: Live Songs",22
"Taylor Swift","You Belong with Me","8: Anthem Songs",22
"The Bangles","Walk Like an Egyptian","7: Dance Songs",22
"The Ronettes","Sleigh Ride","7: Dance Songs",22
"Tove Lo","Thousand Miles","3: ""Speak"" Pop",22
"Bon Jovi","It's My Life","5: Live Songs",21
"Britney Spears","Hold It Against Me","8: Anthem Songs",21
"Britt Nicole","O Come All Ye Faithful","4: Sad Bops",21
"Calvin Harris","Outside","5: Live Songs",21
"Carly Rae Jepsen","Guitar String / Wedding Ring","5: Live Songs",21
"Celine Dion","Don't Save It All for Christmas Day","4: Sad Bops",21
"Christina Grimmie","Hold On We're Going Home - The Voice Performance","4: Sad Bops",21
"Daya","Legendary","3: ""Speak"" Pop",21
"Dolly Parton","9 to 5","5: Live Songs",21
"Ella Eyre","Comeback","7: Dance Songs",21
"Fickle Friends","Pretty Great","7: Dance Songs",21
"Fleur East","Sax","5: Live Songs",21
"Flo Rida","My House","7: Dance Songs",21
"Jess Glynne","All I Am","7: Dance Songs",21
"Josh Groban","Silent Night","2: ""The Feels""",21
"Kanye West","Stronger","5: Live Songs",21
"Katy Perry","Dressin' Up","8: Anthem Songs",21
"Kelly Clarkson","Don't Waste Your Time","8: Anthem Songs",21
"Kelly Clarkson","Tip of My Tongue","8: Anthem Songs",21
"Kylie Minogue","Can't Get You Out of My Head","1: Instrumental Songs",21
"Lady Gaga","Rain On Me - Purple Disco Machine Remix","7: Dance Songs",21
"Lionel Richie","Dancing on the Ceiling","5: Live Songs",21
"MGM Studio Chorus","Trim Up The Tree","5: Live Songs",21
"Rachel Platten","Better Place","2: ""The Feels""",21
"Rachel Platten","Broken Glass","5: Live Songs",21
"Rihanna","Rude Boy","6: Energy Pop",21
"Rita Ora","R.I.P.","7: Dance Songs",21
"Scavenger Hunt","Eyes Wide Open","6: Energy Pop",21
"Zara Larsson","Ain't My Fault","8: Anthem Songs",21
"Zedd","Happy Now","8: Anthem Songs",21
"Ariana Grande","Bad Decisions","7: Dance Songs",20
"Betty Who","Somebody Loves You","5: Live Songs",20
"Bruce Springsteen","Santa Claus Is Comin' To Town - Single Version","2: ""The Feels""",20
"Cash Cash","Take Me Home (feat. Bebe Rexha)","3: ""Speak"" Pop",20
"Earth Wind & Fire","September","7: Dance Songs",20
"Ed Sheeran","BLOW (with Chris Stapleton & Bruno Mars)","5: Live Songs",20
"Ella Henderson","Rockets","6: Energy Pop",20
"Ellie Goulding","We Can't Move to This","7: Dance Songs",20
"Francesca Battistelli","Write Your Story","7: Dance Songs",20
"Gene Autry","Rudolph The Red-Nosed Reindeer","2: ""The Feels""",20
"Josh Groban","I'll Be Home For Christmas","2: ""The Feels""",20
"Journey","Don't Stop Believin'","5: Live Songs",20
"Katy Perry","E.T.","3: ""Speak"" Pop",20
"Katy Perry","Part of Me","7: Dance Songs",20
"Kelly Clarkson","Broken & Beautiful (from the movie UGLYDOLLS)","7: Dance Songs",20
"Kelly Clarkson","Every Christmas","6: Energy Pop",20
"Kelly Clarkson","How I Feel","7: Dance Songs",20
"Kelly Clarkson","Piece By Piece - Radio Mix","8: Anthem Songs",20
"Kim Petras","Death By Sex","6: Energy Pop",20
"Kim Petras","Knives","8: Anthem Songs",20
"Lady Gaga","Fashion!","8: Anthem Songs",20
"Lady Gaga","Fun Tonight","8: Anthem Songs",20
"Lady Gaga","Replay","5: Live Songs",20
"Nause","Perfect Crime","8: Anthem Songs",20
"P!nk","Try","8: Anthem Songs",20
"Seeb","Numbers","8: Anthem Songs",20
"Taylor Swift","I Know Places","6: Energy Pop",20
"Zedd","Addicted to a Memory","8: Anthem Songs",20
"Adele","Easy on Me","4: Sad Bops",19
"Adele","To Be Loved","4: Sad Bops",19
"Armin van Buuren","This Is What It Feels Like","8: Anthem Songs",19
"Britney Spears","I Wanna Go","7: Dance Songs",19
"Britt Nicole","Stand","8: Anthem Songs",19
"Celine Dion","All by Myself","4: Sad Bops",19
"Clean Bandit","Real Love","5: Live Songs",19
"Clean Bandit","Rockabye (feat. Sean Paul & Anne-Marie)","7: Dance Songs",19
"Cyndi Lauper","Girls Just Want to Have Fun","5: Live Songs",19
"DHT","Listen To Your Heart (Furious F. EZ Radio Edit)","5: Live Songs",19
"Ellie Goulding","Explosions","4: Sad Bops",19
"Ellie Goulding","Figure 8","6: Energy Pop",19
"Ellie Goulding","Hanging On","6: Energy Pop",19
"Ellie Goulding","Without Your Love","6: Energy Pop",19
"Fickle Friends","Yeah Yeah Yeah","7: Dance Songs",19
"Flo Rida","Right Round","7: Dance Songs",19
"fun.","We Are Young (feat. Janelle Monae)","6: Energy Pop",19
"George Michael","I Knew You Were Waiting (For Me)","5: Live Songs",19
"Gryffin","Alive (with Calle Lehmann)","8: Anthem Songs",19
"JoJo","Too Little Too Late","8: Anthem Songs",19
"Journey","Faithfully","4: Sad Bops",19
"Kelly Clarkson","Hear Me","8: Anthem Songs",19
"Kelly Clarkson","I'll Be Home for Christmas","2: ""The Feels""",19
"Kelly Clarkson","Maybe","8: Anthem Songs",19
"Kenny G","Auld Lang Syne","1: Instrumental Songs",19
"Kim Petras","Malibu","3: ""Speak"" Pop",19
"Kim Petras","Purgatory","1: Instrumental Songs",19
"Lady Gaga","Bad Romance - Skrillex Remix","7: Dance Songs",19
"Lady Gaga","Joanne (Where Do You Think You're Goin'?) - Piano Version","2: ""The Feels""",19
"Lady Gaga","You And I","8: Anthem Songs",19
"Marina","Shampain","7: Dance Songs",19
"Nicki Minaj","Whip It","3: ""Speak"" Pop",19
"Nile Rodgers","Sober","7: Dance Songs",19
"Peg Parnevik","Break Up a Bit","8: Anthem Songs",19
"Taylor Swift","How You Get the Girl","7: Dance Songs",19
"The Black Eyed Peas","I Gotta Feeling","5: Live Songs",19
"The Veronicas","In My Blood","5: Live Songs",19
"Timeflies","All The Way","8: Anthem Songs",19
"Vigiland","We're The Same","8: Anthem Songs",19
"Ariana Grande","Be My Baby","8: Anthem Songs",18
"Ben Haenow","Second Hand Heart","8: Anthem Songs",18
"Carly Rae Jepsen","Your Heart Is a Muscle","6: Energy Pop",18
"Cash Cash","Surrender","8: Anthem Songs",18
"Celine Dion","My Heart Will Go On","2: ""The Feels""",18
"Christina Aguilera","Dirrty","3: ""Speak"" Pop",18
"Christina Aguilera","What a Girl Wants","7: Dance Songs",18
"Christina Grimmie","Liar Liar","6: Energy Pop",18
"Chromeo","Jealous (I Ain't With It)","7: Dance Songs",18
"Dolly Parton","Here You Come Again","2: ""The Feels""",18
"Fall Out Boy","I Don't Care","5: Live Songs",18
"Florrie","Too Young to Remember - Florrie Remix","8: Anthem Songs",18
"Green Day","Good Riddance (Time of Your Life)","8: Anthem Songs",18
"Heart","Alone","2: ""The Feels""",18
"Joan Osborne","One Of Us - Short Version","4: Sad Bops",18
"Kelly Clarkson","I Hate Myself for Losing You","7: Dance Songs",18
"Kelly Clarkson","Invincible - Vicetone Mix","6: Energy Pop",18
"Kesha","Die Young","7: Dance Songs",18
"Kylie Minogue","Love at First Sight","8: Anthem Songs",18
"Lost Kings","Too Far Gone - COASTR. Remix","8: Anthem Songs",18
"Lost Kings","Try","6: Energy Pop",18
"Mannheim Steamroller","Lo How A Rose E'er Blooming","1: Instrumental Songs",18
"Maroon 5","She Will Be Loved","8: Anthem Songs",18
"Mike Perry","Inside The Lines","8: Anthem Songs",18
"Nena","99 Luftballons","8: Anthem Songs",18
"Nova Miller","Mi Amor","8: Anthem Songs",18
"P!nk","Raise Your Glass","7: Dance Songs",18
"Rachel Platten","Beating Me Up","8: Anthem Songs",18
"Rihanna","Love The Way You Lie (Part II) - Pt. 2","3: ""Speak"" Pop",18
"The Saturdays","Disco Love","5: Live Songs",18
"Vince Guaraldi Trio","Christmas Time Is Here - Vocal","2: ""The Feels""",18
"Yeah Yeah Yeahs","Heads Will Roll","7: Dance Songs",18
"Alexandra Stan","Mr. Saxobeat","7: Dance Songs",17
"Armin van Buuren","Unlove You","7: Dance Songs",17
"Avril Lavigne","What the Hell","7: Dance Songs",17
"Breathe Carolina","Lovin","8: Anthem Songs",17
"Celine Dion","It's All Coming Back to Me Now","4: Sad Bops",17
"Charli XCX","Break the Rules","8: Anthem Songs",17
"Clean Bandit","Tears (feat. Louisa Johnson)","8: Anthem Songs",17
"Demi Lovato","Skyscraper","8: Anthem Songs",17
"Ellie Goulding","Devotion","8: Anthem Songs",17
"Ellie Goulding","My Blood","4: Sad Bops",17
"Fall Out Boy","My Songs Know What You Did In the Dark (Light Em Up)","5: Live Songs",17
"Fear of Tigers","That's My Why","1: Instrumental Songs",17
"Gryffin","All You Need To Know (feat. Calle Lehmann) - Jason Ross Remix","6: Energy Pop",17
"Jennifer Lopez","On the Floor","7: Dance Songs",17
"John Mellencamp","Small Town","5: Live Songs",17
"Kim Petras","In The Next Life","8: Anthem Songs",17
"Kim Petras","o m e n","1: Instrumental Songs",17
"Lady Gaga","1000 Doves","5: Live Songs",17
"Lady Gaga","Government Hooker","5: Live Songs",17
"Marina","Lies","8: Anthem Songs",17
"Marina","True","7: Dance Songs",17
"Miley Cyrus","See You Again","3: ""Speak"" Pop",17
"Nat King Cole","Caroling Caroling","2: ""The Feels""",17
"P!nk","Just Like a Pill","8: Anthem Songs",17
"Pink Martini","Que Sera Sera","2: ""The Feels""",17
"Pitbull","Feel This Moment","3: ""Speak"" Pop",17
"Sarah McLachlan","When She Loved Me","2: ""The Feels""",17
"Selena Gomez","Sober","8: Anthem Songs",17
"Shakira","Hips Don't Lie","5: Live Songs",17
"Sia","Never Give Up","8: Anthem Songs",17
"Steerner","Emotions","7: Dance Songs",17
"Taylor Swift","All You Had to Do Was Stay","8: Anthem Songs",17
"Taylor Swift","Welcome to New York","7: Dance Songs",17
"Tritonal","Set It On Fire","8: Anthem Songs",17
"Zedd","Beautiful Now","8: Anthem Songs",17
"Ashley O","On A Roll - DallasK Remix","7: Dance Songs",16
"Axwell /\ Ingrosso","Something New","8: Anthem Songs",16
"Bastille","Pompeii","7: Dance Songs",16
"Cardiknox","Wild Child","7: Dance Songs",16
"Carly Rae Jepsen","I'll Be Your Girl","7: Dance Songs",16
"Colbie Caillat","Bubbly","4: Sad Bops",16
"Conan Gray","Overdrive","8: Anthem Songs",16
"Dev","In the Dark","5: Live Songs",16
"Earth Wind & Fire","Let's Groove","7: Dance Songs",16
"Ella Eyre","If I Go","6: Energy Pop",16
"Ellie Goulding","Halcyon","4: Sad Bops",16
"Fergie","M.I.L.F. $","7: Dance Songs",16
"Illenium","Good Things Fall Apart (with Jon Bellion)","8: Anthem Songs",16
"Jess Glynne","You Can Find Me","5: Live Songs",16
"Jessie J","Price Tag","3: ""Speak"" Pop",16
"Kelly Clarkson","Where Is Your Heart","4: Sad Bops",16
"Kim Petras","Bloody Valentine","8: Anthem Songs",16
"Kylie Minogue","Sexercize","6: Energy Pop",16
"Lady Gaga","Come to Mama","6: Energy Pop",16
"Lady Gaga","Joanne","6: Energy Pop",16
"Nicki Minaj","Anaconda","3: ""Speak"" Pop",16
"NOTD","Wanted","8: Anthem Songs",16
"Sheppard","Edge Of The Night","7: Dance Songs",16
"Sia","Bird Set Free","6: Energy Pop",16
"The Barden Bellas","Cups (When I'm Gone) - Campfire Version","2: ""The Feels""",16
"Vince Guaraldi Trio","Hark the Herald Angels Sing","2: ""The Feels""",16
"Alesso","Cool","5: Live Songs",15
"Alex Clare","Too Close","8: Anthem Songs",15
"Bon Jovi","You Give Love a Bad Name","5: Live Songs",15
"Britt Nicole","Girls Night Out","5: Live Songs",15
"Britt Nicole","Through Your Eyes","8: Anthem Songs",15
"Candace","Summer Belongs to You","6: Energy Pop",15
"Celine Dion","Ave Maria","2: ""The Feels""",15
"CHVRCHES","Screaming","8: Anthem Songs",15
"Cobra Starship","Good Girls Go Bad (feat. Leighton Meester)","5: Live Songs",15
"Danny Gokey","Tell Your Heart to Beat Again","4: Sad Bops",15
"David Guetta","Turn Me On (feat. Nicki Minaj)","5: Live Songs",15
"DJ D-Sol","Electric (feat. Hayley May)","5: Live Songs",15
"Ellie Goulding","Only You","5: Live Songs",15
"James Arthur","Remember Who I Was","2: ""The Feels""",15
"Jess Glynne","Ain't Got Far to Go","5: Live Songs",15
"Jesus Culture","Make Us One - Live","5: Live Songs",15
"Jordy","things i never said","8: Anthem Songs",15
"Josh Groban","Jesu Joy of Man's Desiring (feat. Lili Haydn)","4: Sad Bops",15
"Katy Perry","By the Grace of God","4: Sad Bops",15
"Kelly Clarkson","Hole","5: Live Songs",15
"Kelly Clarkson","If I Can't Have You","8: Anthem Songs",15
"Kelly Clarkson","Move You","8: Anthem Songs",15
"Kelly Clarkson","Save You","4: Sad Bops",15
"Kiesza","Hideaway","8: Anthem Songs",15
"Kim Petras","i don't wanna die","1: Instrumental Songs",15
"Kim Petras","Tell Me It's A Nightmare","8: Anthem Songs",15
"Krewella","Live for the Night","6: Energy Pop",15
"La Roux","Bulletproof","7: Dance Songs",15
"Lady Gaga","Hair","8: Anthem Songs",15
"Lady Gaga","Million Reasons","4: Sad Bops",15
"Lady Gaga","Paper Gangsta","7: Dance Songs",15
"Lana Del Rey","Young and Beautiful","4: Sad Bops",15
"Leroy Anderson","Sleigh Ride","2: ""The Feels""",15
"Mark Ronson","Uptown Funk","7: Dance Songs",15
"Maroon 5","Sugar","7: Dance Songs",15
"Matt Redman","10000 Reasons (Bless the Lord) - Live","4: Sad Bops",15
"OneRepublic","If I Lose Myself","8: Anthem Songs",15
"Passenger","Let Her Go","4: Sad Bops",15
"Queen","Don't Stop Me Now - Remastered","5: Live Songs",15
"Rachel Platten","You Don't Know My Heart","6: Energy Pop",15
"Rihanna","Pon de Replay","7: Dance Songs",15
"Sia","Cheap Thrills - John J-C Carr Remix","7: Dance Songs",15
"The Bettys","Ready for the Bettys","6: Energy Pop",15
"The Rembrandts","I'll Be There For You","6: Energy Pop",15
"Tori Kelly","Colors Of The Wind - From Pocahontas","2: ""The Feels""",15
"Tungevaag","Miss You","8: Anthem Songs",15
"Vigiland","Friday Night","8: Anthem Songs",15
"Wynter Gordon","Higher","4: Sad Bops",15
"Alesso","Scars","8: Anthem Songs",14
"Alvin & The Chipmunks","The Chipmunk Song (Christmas Don't Be Late)","7: Dance Songs",14
"Angela Lansbury","Be Our Guest - From Beauty and the Beast","2: ""The Feels""",14
"Ariana Grande","Snow in California","5: Live Songs",14
"Avril Lavigne","I'm with You","4: Sad Bops",14
"Blondie","One Way or Another","6: Energy Pop",14
"Britt Nicole","Be the Change","5: Live Songs",14
"Britt Nicole","The Sun Is Rising - Horizon Remix","4: Sad Bops",14
"Carmen Twillie","Circle of Life - From The Lion King","2: ""The Feels""",14
"Celine Dion","Because You Loved Me","4: Sad Bops",14
"Christina Aguilera","Hurt","4: Sad Bops",14
"Christina Aguilera","Keeps Gettin' Better","5: Live Songs",14
"Cliff Edwards","When You Wish Upon a Star","2: ""The Feels""",14
"Destiny's Child","Say My Name","7: Dance Songs",14
"dreamr.","Kiss Me","8: Anthem Songs",14
"Emeli Sande","Next to Me","8: Anthem Songs",14
"Jason Weaver","I Just Can't Wait To Be King - From The Lion King/Soundtrack Version","7: Dance Songs",14
"Jess Glynne","Gave Me Something","5: Live Songs",14
"Jesus Culture","Halls Of Heaven - Live","5: Live Songs",14
"John De Sohn","Dance Our Tears Away - Extended","8: Anthem Songs",14
"Johnny Mathis","It's Beginning to Look a Lot Like Christmas","2: ""The Feels""",14
"Joseph Williams","Can You Feel the Love Tonight","2: ""The Feels""",14
"Journey","Any Way You Want It","6: Energy Pop",14
"Judy Kuhn","Just Around The Riverbend","2: ""The Feels""",14
"Katy Perry","If You Can Afford Me","7: Dance Songs",14
"Katy Perry","Unconditionally","8: Anthem Songs",14
"Kelly Clarkson","Heartbeat Song - Dave Aude Radio Mix","6: Energy Pop",14
"Kelly Clarkson","Let Your Tears Fall - Cutmore Remix","8: Anthem Songs",14
"Kenny G","Silver Bells","1: Instrumental Songs",14
"Kesha","Your Love Is My Drug","7: Dance Songs",14
"Lady Gaga","Hey Girl","7: Dance Songs",14
"Lady Gaga","Summerboy","7: Dance Songs",14
"Lady Gaga","The Fame","7: Dance Songs",14
"Marina","Hollywood","5: Live Songs",14
"Marina","The State of Dreaming","8: Anthem Songs",14
"Martin Garrix","Don't Look Down","8: Anthem Songs",14
"MGM Studio Chorus","Welcome Christmas","2: ""The Feels""",14
"Miley Cyrus","We Can't Stop","5: Live Songs",14
"P!nk","Blow Me (One Last Kiss)","5: Live Songs",14
"Rachel Platten","Angels in Chelsea","6: Energy Pop",14
"Secret Nation","You Are Mine (feat. Holley Maher)","4: Sad Bops",14
"Taylor Swift","... Ready for It?","6: Energy Pop",14
"The Buggles","Video Killed the Radio Star","4: Sad Bops",14
"Tove Lo","Timebomb","8: Anthem Songs",14
"Zedd","365","8: Anthem Songs",14
"Zedd","Find You","8: Anthem Songs",14
"3OH!3","Starstrukk (feat. Katy Perry)","8: Anthem Songs",13
"Adele","Someone Like You","2: ""The Feels""",13
"Alessia Cara","Here","8: Anthem Songs",13
"Betty Who","Heartbreak Dream","8: Anthem Songs",13
"Bing Crosby","Mele Kalikimaka - Single Version","2: ""The Feels""",13
"Bruce Springsteen","Born to Run","6: Energy Pop",13
"Bruno Mars","24K Magic","7: Dance Songs",13
"Carly Rae Jepsen","Tug of War","7: Dance Songs",13
"Cher Lloyd","Want U Back","5: Live Songs",13
"Christina Aguilera","Have Yourself a Merry Little Christmas","2: ""The Feels""",13
"Christina Aguilera","Love Will Find a Way","5: Live Songs",13
"Christina Aguilera","Oh Holy Night","4: Sad Bops",13
"Christina Aguilera","The Voice Within","4: Sad Bops",13
"Christina Grimmie","Hide And Seek - The Voice Performance","2: ""The Feels""",13
"Christina Grimmie","How To Love - The Voice Performance","6: Energy Pop",13
"Ellie Goulding","Atlantis","4: Sad Bops",13
"Ellie Goulding","Lights (Bassnectar remix)","1: Instrumental Songs",13
"Gwen Stefani","Make Me Like You","7: Dance Songs",13
"Jennifer Lopez","Live It Up","3: ""Speak"" Pop",13
"Jessica Sanchez","Tonight","8: Anthem Songs",13
"Jimmy Durante","Frosty the Snowman","3: ""Speak"" Pop",13
"Josh Groban","Remember When It Rained","2: ""The Feels""",13
"Kelly Clarkson","Cry","8: Anthem Songs",13
"Kelly Clarkson","Fake Plastic Trees","4: Sad Bops",13
"Kenny G","Have Yourself a Merry Little Christmas","1: Instrumental Songs",13
"Kesha","TiK ToK","7: Dance Songs",13
"Kim Petras","Everybody Dies","6: Energy Pop",13
"Kim Petras","TRANSylvania","3: ""Speak"" Pop",13
"Lady Gaga","Bloody Mary","8: Anthem Songs",13
"Leona Lewis","Footprints in the Sand","4: Sad Bops",13
"Lily Allen","Fuck You","7: Dance Songs",13
"Mannheim Steamroller","Traditions Of Christmas","1: Instrumental Songs",13
"Maroon 5","Payphone","5: Live Songs",13
"Nicki Minaj","Pound the Alarm","7: Dance Songs",13
"Owl City","Good Time - Wideboys Remix [Club]","7: Dance Songs",13
"Sean Kingston","Fire Burning","7: Dance Songs",13
"Shakira","Try Everything","8: Anthem Songs",13
"Sia","Alive","8: Anthem Songs",13
"Sia","Fire Meet Gasoline","6: Energy Pop",13
"Stevie Wonder","What Christmas Means to Me","6: Energy Pop",13
"The Bangles","Eternal Flame","4: Sad Bops",13
"The Disney Afternoon Studio Chorus","Chip 'N' Dale's Rescue Rangers Theme Song - From Chip 'n' Dale's Rescue Rangers","7: Dance Songs",13
"V V Brown","Shark In The Water","5: Live Songs",13
"Van Halen","Dreams","4: Sad Bops",13
"Whitney Houston","The Star Spangled Banner - Live from Super Bowl XXV","5: Live Songs",13
"*NSYNC","Bye Bye Bye","6: Energy Pop",12
"5 Seconds of Summer","She Looks So Perfect","6: Energy Pop",12
"Aretha Franklin","Who's Zoomin' Who?","7: Dance Songs",12
"Ariana Grande","Into You - 3LAU Remix","8: Anthem Songs",12
"Ariana Grande","Why Try","6: Energy Pop",12
"Band Aid","Do They Know It's Christmas?","8: Anthem Songs",12
"Betty Who","All of You","8: Anthem Songs",12
"Billy Idol","Mony Mony","8: Anthem Songs",12
"Bonnie Tyler","Total Eclipse of the Heart","4: Sad Bops",12
"Carrie Underwood","Some Hearts","8: Anthem Songs",12
"Cascada","Playground","8: Anthem Songs",12
"Celine Dion","Beauty and the Beast - Duet with Peabo Bryson from the Soundtrack Beauty and the Beast","2: ""The Feels""",12
"Chumbawamba","Tubthumping","6: Energy Pop",12
"David Guetta","Goodbye Friend (feat. The Script)","8: Anthem Songs",12
"David Guetta","When Love Takes Over (feat. Kelly Rowland)","8: Anthem Songs",12
"Delta Goodrem","Let It Rain","2: ""The Feels""",12
"Ellie Goulding","I Know You Care","2: ""The Feels""",12
"Elmo & Patsy","Grandma Got Run Over By A Reindeer","7: Dance Songs",12
"Emma Blackery","Dirt","7: Dance Songs",12
"Fall Out Boy","Centuries","6: Energy Pop",12
"Hannah Montana","I Got Nerve","7: Dance Songs",12
"Hardwell","Follow Me","8: Anthem Songs",12
