"Artist","Track","cluster","total_track_streams"
"The Knocks","Love Me Like That (feat. Carly Rae Jepsen) - The Knocks 55.5 VIP Mix","5: Live Songs",156
"Fickle Friends","Hard To Be Myself","8: Anthem Songs",155
"Vigiland","Shots & Squats","8: Anthem Songs",155
"The Knocks","Bodies","8: Anthem Songs",154
"The Chainsmokers","Paris","8: Anthem Songs",153
"Katy Perry","Hot n Cold","7: Dance Songs",152
"Taylor Swift","All Too Well","4: Sad Bops",152
"The Band CAMINO","I Think I Like You","7: Dance Songs",152
"The Chainsmokers","Do You Mean","8: Anthem Songs",152
"Kelly Clarkson","Heartbeat Song","6: Energy Pop",151
"Mimi Webb","House On Fire","6: Energy Pop",150
"Florrie","Street Lights","7: Dance Songs",149
"Taio Cruz","Break Your Heart","8: Anthem Songs",149
"Britney Spears","Toxic","7: Dance Songs",147
"Kelly Clarkson","Have Yourself a Merry Little Christmas","2: ""The Feels""",147
"Kim Petras","There Will Be Blood","8: Anthem Songs",147
"Molly Sanden","Satellites","8: Anthem Songs",147
"Lady Gaga","Perfect Illusion","5: Live Songs",146
"Carly Rae Jepsen","Hurt So Good","7: Dance Songs",145
"Ellie Goulding","Anything Could Happen","8: Anthem Songs",145
"Taylor Swift","Look What You Made Me Do","7: Dance Songs",145
"Ryn Weaver","Free","4: Sad Bops",144
"Calvin Harris","Summer","7: Dance Songs",143
"Ellie Goulding","Love Me Like You Do - From Fifty Shades of Grey","6: Energy Pop",143
"Marina","Oh No!","7: Dance Songs",143
"Britt Nicole","The Lost Get Found - Neon Feather Remix","6: Energy Pop",142
"Fickle Friends","Broken Sleep","7: Dance Songs",142
"Fickle Friends","Midnight","8: Anthem Songs",142
"Kelly Clarkson","Nostalgic","8: Anthem Songs",142
"Kelly Clarkson","Take You High","4: Sad Bops",142
"Zara Larsson","Lush Life","7: Dance Songs",142
"Ava Max","Everytime I Cry","8: Anthem Songs",141
"Flo Rida","Wild Ones (feat. Sia)","8: Anthem Songs",140
"Iggy Azalea","Black Widow","6: Energy Pop",140
"Rihanna","Umbrella","6: Energy Pop",139
"Lost Kings","Too Far Gone","8: Anthem Songs",137
"Taylor Swift","Blank Space","7: Dance Songs",136
"The 1975","If You're Too Shy (Let Me Know) - Edit","8: Anthem Songs",136
"Avril Lavigne","Girlfriend","6: Energy Pop",135
"Julie Bergan","One Touch","5: Live Songs",135
"Silk City","Electricity (with Dua Lipa)","5: Live Songs",135
"Jesus Culture","Anything Can Happen - Live","5: Live Songs",134
"Samantha Jade","Naked","8: Anthem Songs",134
"Sondr","Live Love Learn","5: Live Songs",134
"The Band CAMINO","What I Want","6: Energy Pop",134
"NOTD","about you","8: Anthem Songs",133
"David Guetta","Hey Mama (feat. Nicki Minaj Bebe Rexha & Afrojack)","5: Live Songs",132
"Noah Neiman","Long Way Home","6: Energy Pop",132
"Britney Spears","If U Seek Amy","7: Dance Songs",130
"David Guetta","Titanium (feat. Sia)","8: Anthem Songs",130
"Carly Rae Jepsen","Roses","7: Dance Songs",129
"Charli XCX","Track 10","4: Sad Bops",128
"Felicia Barton","DuckTales - From DuckTales / Extended Version","6: Energy Pop",128
"Sigala","Sweet Lovin'","5: Live Songs",128
"Tove Lo","Talking Body","8: Anthem Songs",128
"Carly Rae Jepsen","Happy Not Knowing","7: Dance Songs",127
"Kari Jobe","Forever - Live","4: Sad Bops",127
"Lady Gaga","Paparazzi","8: Anthem Songs",127
"Midnight Kids","Serious (with Matthew Koma)","8: Anthem Songs",127
"Anna Kendrick","Cups ('When I'm Gone')","7: Dance Songs",125
"Kim Petras","Wrong Turn","8: Anthem Songs",125
"Nicki Minaj","Super Bass","3: ""Speak"" Pop",125
"Seeb","Don't You Wanna Play?","7: Dance Songs",125
"Taylor Swift","Bad Blood","3: ""Speak"" Pop",125
"teamwork.","Wasted Summer","7: Dance Songs",125
"Ariana Grande","Side to Side","3: ""Speak"" Pop",124
"MYBADD","Party On A Weekday","8: Anthem Songs",124
"Kylie Minogue","Get Outta My Way","5: Live Songs",122
"Lady Gaga","Shallow","4: Sad Bops",122
"Carly Rae Jepsen","I Didn't Just Come Here To Dance","7: Dance Songs",120
"Carly Rae Jepsen","Run Away With Me - Cardiknox Remix","6: Energy Pop",120
"Ellie Goulding","Still Falling For You - From Bridget Jones's Baby","4: Sad Bops",120
"Sheppard","On My Way","6: Energy Pop",120
"Camp Kubrick","Johnny's Online","7: Dance Songs",119
"Gareth Emery","Lost","3: ""Speak"" Pop",118
"Lady Gaga","The Edge of Glory","8: Anthem Songs",118
"Little Mix","Black Magic","7: Dance Songs",118
"P!nk","Who Knew","8: Anthem Songs",118
"Loreen","Euphoria","8: Anthem Songs",117
"DJ Sammy","Heaven","6: Energy Pop",116
"Kim Petras","Can't Do Better","8: Anthem Songs",116
"Lady Gaga","So Happy I Could Die","8: Anthem Songs",115
"Carolina Gaitan - La Gaita","We Don't Talk About Bruno","6: Energy Pop",114
"Lady Gaga","Plastic Doll","7: Dance Songs",114
"Miley Cyrus","Night Crawling (feat. Billy Idol)","7: Dance Songs",114
"Owl City","Good Time","5: Live Songs",114
"Pale Waves","Television Romance","5: Live Songs",114
"Whitney Houston","I Wanna Dance with Somebody (Who Loves Me)","7: Dance Songs",114
"Nightly","hate my favorite band","7: Dance Songs",113
"Britt Nicole","All This Time - Pro_Fitt Remix","5: Live Songs",112
"Elton John","Step Into Christmas","5: Live Songs",112
"Katy Perry","Teenage Dream","7: Dance Songs",112
"Lady Gaga","LoveGame","7: Dance Songs",112
"Lady Gaga","Venus","7: Dance Songs",112
"David Foster","Carol Of The Bells - Instrumental","1: Instrumental Songs",111
"Gryffin","If I Left The World (feat. MARINA & Model Child)","8: Anthem Songs",111
"Marina","Teen Idle","8: Anthem Songs",111
"Marina","To Be Human","4: Sad Bops",111
"DNCE","Cake by the Ocean","7: Dance Songs",110
"Rihanna","Disturbia","7: Dance Songs",110
"Fickle Friends","She","7: Dance Songs",108
"Katy Perry","Rise","8: Anthem Songs",108
"Samantha Jade","UP!","3: ""Speak"" Pop",108
"Steerner","You Make Me Feel","8: Anthem Songs",108
"The Band CAMINO","Break Me","8: Anthem Songs",108
"Clean Bandit","Rather Be (feat. Jess Glynne)","7: Dance Songs",107
"Delta Goodrem","Encore","8: Anthem Songs",107
"Jesus Culture","Alleluia - Live","4: Sad Bops",107
"The Chainsmokers","iPad","8: Anthem Songs",107
"Marina","Forget","8: Anthem Songs",106
"Midnight Kids","Run It (feat. Annika Wells)","8: Anthem Songs",106
"Ryn Weaver","OctaHate","8: Anthem Songs",106
"Vigiland","Shots & Squats - SoMo Vocal Mix","8: Anthem Songs",106
"Seeb","Feel It Again","8: Anthem Songs",105
"Gareth Emery","Saving Light - Hixxy Remix","3: ""Speak"" Pop",104
"Hotel Apache","Dialtone","7: Dance Songs",104
"Lady Gaga","Swine","5: Live Songs",104
