"monthyear","cluster","streams","percent","index"
Sep 2021,"3: ""Speak"" Pop",117,0.100085543199316,242.285003277304
Oct 2021,"3: ""Speak"" Pop",118,0.0918287937743191,222.297235838092
Nov 2021,"3: ""Speak"" Pop",61,0.036969696969697,89.4954742227469
Dec 2021,"3: ""Speak"" Pop",60,0.0325732899022801,78.8527433478574
Jan 2022,"3: ""Speak"" Pop",34,0.0267716535433071,64.8082626035382
Feb 2022,"3: ""Speak"" Pop",84,0.0701168614357262,169.737441189862
Mar 2022,"3: ""Speak"" Pop",87,0.0551680405833862,133.549646295366
Apr 2022,"3: ""Speak"" Pop",47,0.0280932456664674,68.0075453536302
May 2022,"3: ""Speak"" Pop",33,0.0199637023593466,48.3277158413275
Jun 2022,"3: ""Speak"" Pop",18,0.0109689213893967,26.5533369738123
Jul 2022,"3: ""Speak"" Pop",73,0.041196388261851,99.7273606754419
Oct 2015,"4: Sad Bops",179,0.11600777705768,131.053634203343
Nov 2015,"4: Sad Bops",187,0.111976047904192,126.499001996008
Dec 2015,"4: Sad Bops",50,0.0796178343949045,89.9440262497587
Jan 2016,"4: Sad Bops",29,0.034688995215311,39.1880527765695
Feb 2016,"4: Sad Bops",21,0.0451612903225806,51.0185728250244
Mar 2016,"4: Sad Bops",66,0.0921787709497207,104.134078212291
Apr 2016,"4: Sad Bops",78,0.0658227848101266,74.3598005370157
May 2016,"4: Sad Bops",135,0.0753348214285714,85.1055194805195
Jun 2016,"4: Sad Bops",96,0.109965635738832,124.227845464959
Jul 2016,"4: Sad Bops",45,0.0747508305647841,84.4457867713682
Aug 2016,"4: Sad Bops",73,0.0758047767393562,85.636426571006
Sep 2016,"4: Sad Bops",84,0.0672,75.9156363636364
Oct 2016,"4: Sad Bops",93,0.0742218675179569,83.8482188202859
Nov 2016,"4: Sad Bops",99,0.100303951367781,113.313069908815
Dec 2016,"4: Sad Bops",151,0.100066269052353,113.044560917324
Mar 2017,"4: Sad Bops",65,0.038370720188902,43.3472863224929
Apr 2017,"4: Sad Bops",113,0.0656976744186046,74.2184637068358
May 2017,"4: Sad Bops",132,0.0831758034026465,93.9634530560807
Jun 2017,"4: Sad Bops",34,0.0269200316706255,30.4114782024521
Jul 2017,"4: Sad Bops",69,0.0686567164179104,77.5612844866576
Aug 2017,"4: Sad Bops",55,0.0882825040128411,99.7324772605671
Sep 2017,"4: Sad Bops",33,0.0426356589147287,48.1653746770026
Oct 2017,"4: Sad Bops",54,0.0617848970251716,69.7982109423757
Nov 2017,"4: Sad Bops",74,0.0516039051603905,58.296775284223
Dec 2017,"4: Sad Bops",72,0.0456273764258555,51.5451088835119
Jan 2018,"4: Sad Bops",264,0.106839336301093,120.69607446378
Feb 2018,"4: Sad Bops",115,0.0501089324618736,56.6079091569288
Mar 2018,"4: Sad Bops",170,0.0611951043916487,69.1319239915352
Apr 2018,"4: Sad Bops",51,0.020910209102091,23.6221998583622
May 2018,"4: Sad Bops",200,0.088339222614841,99.7965520933719
Jun 2018,"4: Sad Bops",162,0.0686440677966102,77.5469953775039
Jul 2018,"4: Sad Bops",156,0.0666381888082016,75.2809599627199
Aug 2018,"4: Sad Bops",253,0.102263540824576,115.526812180005
Sep 2018,"4: Sad Bops",140,0.0611353711790393,69.0644435622602
Oct 2018,"4: Sad Bops",77,0.0357640501625639,40.4025390927388
Nov 2018,"4: Sad Bops",201,0.1046875,118.265151515152
Dec 2018,"4: Sad Bops",149,0.0723652258377853,81.7507763403829
Jan 2019,"4: Sad Bops",95,0.0603941513032422,68.227089714693
Feb 2019,"4: Sad Bops",111,0.0681399631675875,76.9775099056867
Mar 2019,"4: Sad Bops",69,0.041868932038835,47.2992056487202
Apr 2019,"4: Sad Bops",129,0.0707236842105263,79.896331738437
May 2019,"4: Sad Bops",63,0.0366919044845661,41.450733308625
Jun 2019,"4: Sad Bops",76,0.0508701472556894,57.467851202791
Jul 2019,"4: Sad Bops",86,0.0593922651933702,67.0952620123891
Aug 2019,"4: Sad Bops",73,0.0682242990654206,77.0727839139054
